"Robert Mahony","DP130103526","The Australian National University","The outcomes of this project will enable novice pilots to safely operate aerial robots in dangerous …","270,000","2013","Discovery Projects"
"Parastoo Sadeghi","DP120100160","The Australian National University","This project addresses one main disadvantage of network coding: decoding delay. By solving this …","360,000","2012","Discovery Projects"
"Marcus Hutter","DP120100950","The Australian National University","Agent applications include speech recognition systems, vision systems, search engines, auto-pilots, …","390,000","2012","Discovery Projects"
"Raquel Salmeron","DP120101792","The Australian National University","This project will identify the mechanisms that create stars and planets, providing a sound basis …","321,000","2012","Discovery Projects"
"David Heslop","DP120103952","The Australian National University","The magnetism of sediments provides information on the past behaviour of the Earth's magnetic …","480,000","2012","Discovery Projects"
"Tamás (Tom) Gedeon","DP110103767","The Australian National University","Fuzzy logic is good for dealing with uncertain data somewhat like people do, and this technique has …","240,000","2011","Discovery Projects"
"Vishwanathan Swaminathan","FT110100305","The Australian National University","As more and more data are being collected, it is important to build intelligent systems which will …","724,596","2011","ARC Future Fellowships"
"Christine Jubb","LP110200474","The Australian National University","Standard Business Reporting is a government response to the business regulatory burden and …","185,000","2011","Linkage Projects"
"Andrew Valentine","DE180100040","The Australian National University","This project aims to develop a new approach for earthquake and tsunami early warning, avoiding many …","337,300","2018","Discovery Early Career Researcher Award"
"Lexing Xie","DP180101985","The Australian National University","This project aims to design mechanisms for fairness of attention to online digital items, by …","332,516","2018","Discovery Projects"
"Robert Williamson","DP150104595","The Australian National University","Machine learning is the science of making sense of data. It does not and cannot remove all risk and …","426,700","2015","Discovery Projects"
"Vanessa Robins","FT140100604","The Australian National University","The way water flows through sandstone depends on the connectivity of its pores, the balance of …","672,384","2014","ARC Future Fellowships"
"Louise Hamby","LP130100346","The Australian National University","This project will bring life to Aboriginal material collections made at Milingimbi, in Arnhem Land, …","213,527","2013","Linkage Projects"
"Brian Anderson","DP110100538","The Australian National University","This project will develop design methodologies for two related classes of technological systems: …","600,000","2011","Discovery Projects"
"Frank Jotzo","DP110102057","The Australian National University","This project uses cooperative game theory, implementation theory and agent-based modelling to …","140,000","2011","Discovery Projects"
"Adrian Sheppard","DP110102888","The Australian National University","Building on new links between the mathematical discipline of homology and digital images, this …","255,000","2011","Discovery Projects"
"Adrian Sheppard","FT100100470","The Australian National University","The process underlying oil extraction, groundwater flow and the sequestration of carbon dioxide is …","773,072","2010","ARC Future Fellowships"
