"Longbing Cao","LP140100937","University of Technology, Sydney","This project aims to build theoretical breakthroughs and novel tools for deep analytics and active …","360,000","2014","Linkage Projects"
"Longbing Cao","DP130102691","University of Technology, Sydney","This project addresses the shortage in current behavior analysis by inventing innovative theories …","360,000","2013","Discovery Projects"
"Yuan Feng","DP130102764","University of Technology, Sydney","This project will develop effective techniques and practical tools for verification of correctness, …","330,000","2013","Discovery Projects"
"Dacheng Tao","FT130101457","University of Technology, Sydney","Data analytics in video surveillance and social computing is a problem because data are represented …","916,144","2013","ARC Future Fellowships"
"Dacheng Tao","DP120103730","University of Technology, Sydney","Smart information use is essential for effective video surveillance in order to guard against …","378,000","2012","Discovery Projects"
"Longbing Cao","LP100200774","University of Technology, Sydney","The instant detection of risky customer and/or group dynamics and business policy and/or process …","300,000","2010","Linkage Projects"
"Hung Nguyen","DP150102493","University of Technology, Sydney","This project aims to develop intelligent decision-making systems for non-invasive identification of …","234,800","2015","Discovery Projects"
"Jinyan Li","DP130102124","University of Technology, Sydney","Negative correlations are widely embedded in real life applications, but in-depth research has …","320,000","2013","Discovery Projects"
"Tuan Hoang","DP130104617","University of Technology, Sydney","The conceptual advances with new optimisation based solvers to be developed in the area of control, …","270,000","2013","Discovery Projects"
"Ivor Tsang","FT130100746","University of Technology, Sydney","The advent of “big data” in business, government, science, social networks, the internet, etc. …","624,616","2013","ARC Future Fellowships"
"Shoudong Huang","DP120102786","University of Technology, Sydney","Building robots that can operate on their own is one of the potentially transformational …","320,000","2012","Discovery Projects"
"Nengkun Yu","DE180100156","University of Technology, Sydney","This project aims to develop fundamental technology for analysing the big data that arises from …","329,446","2018","Discovery Early Career Researcher Award"
"Xiaojing Huang","DP160101693","University of Technology, Sydney","This project aims to develop fundamental theory and enabling technology for a novel radio remote …","340,000","2016","Discovery Projects"
"Min-Hsiu Hsieh","FT140100574","University of Technology, Sydney","Quantum cryptographic systems have the advantage of mathematically provable security and privacy, …","678,502","2014","ARC Future Fellowships"
"Chengqi Zhang","LP140100569","University of Technology, Sydney","This project aims to build a pricing framework, based on deep pattern mining, to enable dynamic …","510,000","2014","Linkage Projects"
"Runyao Duan","DP120103776","University of Technology, Sydney","This project will establish a systematic quantum zero-error information theory to build highly …","260,000","2012","Discovery Projects"
"Runyao Duan","FT120100449","University of Technology, Sydney","This project will deliver novel solutions to security and privacy in communication networks by …","677,842","2012","ARC Future Fellowships"
"Chengqi Zhang","LP120100566","University of Technology, Sydney","This project will develop novel data mining algorithms to model the evolution of concurrency …","380,000","2012","Linkage Projects"
"Michael Bremner","FT110101044","University of Technology, Sydney","Quantum computation evolved from the revolutionary twentieth century theories of Quantum Mechanics …","583,416","2011","ARC Future Fellowships"
"Yuan Feng","FT100100218","University of Technology, Sydney","The project will provide a framework to reason about, and stepwise develop, quantum programs by …","561,190","2010","ARC Future Fellowships"
"Philip Doble","LP100200254","University of Technology, Sydney","The precise mechanism of how many diseases function on the cellular level is not well understood. …","343,000","2010","Linkage Projects"
"Nicky Solomon","LP100200435","University of Technology, Sydney","The improvement of primary health care delivery is an urgent national priority. This research will …","180,000","2010","Linkage Projects"
