"Anton van den Hengel","LP100100791","The University of Adelaid","The World Wide Web contains tens of billions of images, with personal and industrial collections …","300,000","2010","Linkage Projects"
"Anton van den Hengel","LP100100792","The University of Adelaid","Allowing a user to model objects in the real world in real time greatly improves the efficiency of …","190,858","2010","Linkage Projects"
"Steven Wiederman","FT180100466","The University of Adelaid","This project aims to address fundamental questions in neuroscience and to integrate this biological …","857,189","2018","ARC Future Fellowships"
"James Zanotti","FT100100005","The University of Adelaid","Using the latest advances in supercomputing, the researcher will confront some of the most …","694,352","2010","ARC Future Fellowships"
"Ian Reid","LP140100946","The University of Adelaid","The creation of high quality survey data is integral to productivity and safety in mining and …","240,000","2014","Linkage Projects"
"David O'Carroll","DP130104572","The University of Adelaid","This project will study neurons in the insect brain that solve one of the biggest problems for …","370,000","2013","Discovery Projects"
"Daniel Navarro","FT110100431","The University of Adelaid","One of the biggest questions in psychology is to understand the principles that the mind uses to …","583,403","2011","ARC Future Fellowships"
"Steven Wiederman","DE150100548","The University of Adelaid","Whether a human catching a ball, a dog leaping at a frisbee or a dragonfly hunting prey amidst a …","359,000","2015","Discovery Early Career Researcher Award"
"Anthony Roberts","DP150102385","The University of Adelaid","This project aims to develop and implement a systematic approach, both analytic and computational, …","530,700","2015","Discovery Projects"
"David O'Carroll","DP130104561","The University of Adelaid","This project will study motion vision in nocturnal and day-active insects to understand how the …","430,000","2013","Discovery Projects"
"Anthony Roberts","DP120104260","The University of Adelaid","In current modelling the underlying microscopic mechanisms are known, but the closures to translate …","330,000","2012","Discovery Projects"
